source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,j_ks_mag,ks_mag_abs
5337894658137452288,290.48311369190543,-1.5017120879636203,165.79672503184236,-61.72873174895459,0.35021953015942886,0.07,-2.67,1.0,,2.8300154,0.17,0.28
6425234039315976704,328.05061932308513,-35.489768123278076,310.43832212301254,-67.04930229931466,3.3870609832847447,0.09,-0.13,0.25,,3.3761325,0.17,0.3
6373390863475097984,321.71844968697224,-34.29810318296439,311.4307655037489,-72.36596866476548,2.0079297768951934,0.17,-0.25,0.39,,4.1123614,0.18,0.02
5875826079121486208,320.6781946070218,-3.259882834809427,231.32994017228575,-60.714897654658294,0.48392595484654755,0.07,-1.31,1.6,,3.0775204,0.17,0.16
6057418842585710848,297.2558497700197,-0.506191131546741,180.35288969998797,-62.825323066243314,0.2839751720037387,0.03,-3.13,1.61,,2.8775158,0.12,0.27
5868278692047538304,306.0322912959779,-0.11744497784038856,199.66067957241978,-62.82531401000891,0.6839914616211151,0.0,-1.18,0.86,,,0.1,0.07
5881743758159927168,322.47930805032433,-3.3569229217724854,234.41077167844392,-59.763607881808724,0.29072102244881304,0.12,-2.09,2.73,,4.5019245,0.17,0.07
5808759516265976064,320.335818824914,-14.286529991954573,247.98300462882582,-69.30974680986614,2.068304268551325,0.08,-0.3,0.37,,3.4753485,0.18,0.25
5340611031632788608,288.4171647853774,3.077776487028996,165.73628149722327,-56.70520424480394,0.6296626719234392,-0.08,-1.5,0.5,,,0.13,0.07
5920025209613597568,336.62191177347626,-15.599574043887204,269.5795893294174,-56.705295763548754,0.3559140492005298,0.3,-1.07,2.58,,,0.15,0.28
5856150043673261440,299.2754281445712,-6.730331091235654,182.5335605564217,-69.30833078329034,0.18041022768268541,0.57,-4.8,2.71,,,0.16,0.14
5241659696758042624,290.2715137500188,-2.803626761441772,164.2188745207038,-62.82469200004915,0.24110042924965236,0.19,-3.89,1.44,,3.8035367,0.16,0.23
4674110073836196992,278.4745871521785,-46.24764768962044,51.6802689858687,-62.82457158484006,3.018072355246549,0.24,-0.23,0.05,,3.7039127,0.17,0.16
6071279531012778368,297.4515874772292,3.66260291415645,182.27058667342052,-58.75772871018719,0.545042160146581,-0.1,-1.62,0.85,,3.3438907,0.12,0.22
5304927210707403648,274.6112833345177,-5.844049586389275,136.04851316033648,-55.67163892395175,0.2873796368038545,0.35,-3.45,0.28,,3.3211765,0.2,0.15
5304886322615051776,274.761798906263,-5.67537876994447,136.44848415565465,-55.6713254926935,0.21836786981280276,0.45,-4.54,0.38,,4.1060557,0.2,0.17
5256573227618449920,283.33958274280855,-4.579264665873859,149.7566132167681,-60.71393238018663,0.7637080283988429,0.1,-1.27,0.3,,,0.15,0.2
6063579715472467584,307.82028877456753,5.8304925640336425,201.74283814388195,-56.703620388055214,0.4454436009177719,-0.18,-1.76,1.38,,3.1074166,0.15,0.14
5832403139466212352,323.3205063737845,-6.533938928356066,239.8061249397243,-61.72693470004144,0.4750783701423326,0.14,-1.25,1.69,,3.091479,0.18,0.22
5857461520521315456,304.30730697447007,-4.210972830110874,196.37841266066323,-67.04512595038112,0.5709337182352807,0.11,-1.44,0.99,,3.3954985,0.19,0.03
5853699614564282112,311.79535018719764,-2.5528079044388217,213.41646007043136,-64.00040239967792,0.6240336846920678,0.05,-1.19,1.07,,3.1474109,0.17,0.25
5870213351507009664,308.39297158214106,3.6676625490452675,203.4101796209066,-58.75588491264063,0.5431064789091828,-0.09,-1.44,1.14,,,0.1,0.08
